account_id,account_age_days,total_value
A000115,1457.0,83015.83
A000116,636.0,39165.04
A000117,767.0,58840.66
A000118,737.0,85162.71
A000119,908.0,28988.3
A000120,676.0,80474.59
A000121,614.0,70857.02
A000122,643.0,70068.32
A000123,675.0,55036.43
A000124,1235.0,89293.41
A000125,1045.0,44047.12
A000126,1444.0,111734.68
A000127,1565.0,117282.11
A000128,1027.0,70550.7
A000129,1574.0,102253.45
A000130,801.0,127987.09
A000131,1179.0,45655.64
A000132,635.0,88971.82
A000133,1172.0,153788.92
A000134,541.0,23819.96
A000135,1139.0,83311.84
A000136,1033.0,75036.41
A000137,1020.0,35380.3
A000138,1553.0,79182.7
A000139,1168.0,39799.77
A000140,443.0,54334.18
A000141,726.0,25641.92
A000142,927.0,65638.88
A000143,1418.0,62795.52
A000144,1133.0,44235.19
A000145,1386.0,29541.66
A000146,842.0,39300.11
A000147,836.0,32979.94
A000148,616.0,24691.64
A000149,618.0,60892.44
A000150,1584.0,134422.15
A000151,1363.0,26170.15
A000152,716.0,62422.24
A000153,928.0,36034.98
A000154,965.0,138256.45
A000155,1197.0,114242.87
A000156,1197.0,93600.35
A000157,1353.0,83276.56
A000158,1443.0,67627.32
A000159,1306.0,42446.09
A000160,1376.0,97776.94
A000161,1334.0,78709.47
A000162,1035.0,43644.32
A000163,573.0,77387.59
A000164,1234.0,100157.92
A000165,1371.0,35390.76
A000166,884.0,42073.75
A000167,813.0,134582.28
A000168,1084.0,78596.98
A000169,606.0,74276.44
A000170,741.0,114092.01
A000171,482.0,68453.4
A000172,1250.0,127165.22
A000173,874.0,70550.78
A000174,622.0,77007.5
A000175,457.0,103525.93
A000176,1065.0,40219.6
A000177,886.0,88184.59
A000178,1118.0,67011.23
A000179,1474.0,110986.94
A000180,1304.0,56214.94
A000181,1571.0,124754.89
A000182,630.0,85253.95
A000183,1469.0,76594.52
A000184,1173.0,68122.4
A000185,1309.0,72489.14
A000186,1067.0,67271.47
A000187,552.0,61239.03
A000188,660.0,53571.95
A000189,566.0,122328.04
A000190,1571.0,41737.58
A000191,1477.0,42146.49
A000192,420.0,119212.57
A000193,506.0,36017.75
A000194,767.0,74440.13
A000195,709.0,26293.3
A000196,468.0,39046.68
A000197,776.0,126394.54
A000198,1374.0,89864.33
A000199,1313.0,78086.9
A000200,1238.0,29309.18
A000201,418.0,77105.11
A000202,470.0,44571.03
A000203,1457.0,107653.59
A000204,1349.0,88477.27
A000205,1413.0,107087.01
A000206,1294.0,86256.66
A000207,891.0,32463.7
A000208,1144.0,89470.38
A000209,430.0,90204.97
A000210,894.0,56037.63
A000211,773.0,35530.38
A000212,1172.0,42208.12
A000213,627.0,23737.92
A000214,879.0,32656.75
A000215,474.0,80891.13
A000216,706.0,67803.95
A000217,1102.0,99670.68
A000218,1205.0,59058.34
A000219,851.0,66921.41
A000220,1565.0,95299.4
A000221,512.0,118907.79
A000222,1039.0,87227.25
A000223,1226.0,103744.8
A000224,1015.0,26731.53
A000225,1133.0,97655.13
A000226,1297.0,58441.63
A000227,601.0,123514.05
A000228,1102.0,61549.91
A000229,1447.0,55035.91
A000230,1251.0,50968.65
A000231,615.0,61801.17
A000232,818.0,25464.02
A000233,1061.0,110488.93
A000234,774.0,36006.84
A000235,678.0,69109.59
A000236,1484.0,91425.85
A000237,530.0,110361.41
A000238,1251.0,78481.42
A000239,1205.0,36572.18
A000240,1297.0,53983.99
A000241,1152.0,117848.19
A000242,976.0,28992.08
A000243,1502.0,19324.77
A000244,680.0,48859.02
A000245,1249.0,71789.0
A000246,443.0,107478.41
A000247,928.0,24508.55
A000248,1335.0,109444.64
A000249,954.0,75014.72
A000250,768.0,100669.77
A000251,1038.0,50496.95
A000252,1089.0,79091.99
A000253,1518.0,70563.84
A000254,870.0,11315.06
A000255,790.0,90521.98
A000256,666.0,77378.9
A000257,1159.0,28931.93
A000258,995.0,30104.11
A000259,1114.0,29364.21
A000260,862.0,53732.25
A000261,611.0,99003.96
A000262,437.0,75180.26
A000263,1276.0,55992.37
A000264,1480.0,69601.42
A000265,553.0,94521.21
A000266,1114.0,87979.29
A000267,1119.0,79389.46
A000268,1330.0,99796.93
A000269,1442.0,31716.77
A000270,843.0,46543.66
A000271,826.0,23868.36
A000272,998.0,46845.42
A000273,1329.0,91812.65
A000274,1427.0,69535.51
A000275,1082.0,113771.23
A000276,553.0,83499.48
A000277,1198.0,117967.44
A000278,706.0,27078.81
A000279,1554.0,76672.28
A000280,1431.0,49017.79
A000281,665.0,95800.83
A000282,1494.0,57139.98
A000283,471.0,34035.55
A000284,422.0,86294.67
A000285,452.0,120418.97
A000286,669.0,63507.77
A000287,1332.0,97271.5
A000288,1498.0,42274.79
A000289,1109.0,108615.49
A000290,1481.0,72145.11
A000291,676.0,72191.04
A000292,1096.0,78651.27
A000293,1588.0,68700.51
A000294,1396.0,108950.7
A000295,769.0,110275.96
A000296,734.0,45505.22
A000297,1442.0,67220.67
A000298,686.0,37145.18
A000299,445.0,95582.02
A000300,1044.0,93783.96
A000301,1337.0,125595.83
A000302,1409.0,89542.53
A000303,1221.0,123529.31
A000304,1404.0,20102.03
A000305,1341.0,100501.77
A000306,1020.0,97191.82
A000307,798.0,33137.64
A000308,1309.0,105171.61
A000309,1265.0,86716.52
A000310,488.0,73668.25
A000311,830.0,38711.25
A000312,460.0,109917.09
A000313,1588.0,51809.68
A000314,566.0,58250.12
A000315,872.0,17819.54
A000316,504.0,106023.03
A000317,423.0,98483.22
A000318,979.0,45651.7
A000319,1286.0,99920.56
A000320,651.0,84561.76
A000321,1061.0,122523.98
A000322,1561.0,61110.95
A000323,1174.0,40995.73
A000324,1560.0,62576.78
A000325,1550.0,33749.83
A000326,1428.0,90492.92
A000327,482.0,57566.54
A000328,1236.0,82749.01
A000329,1322.0,121144.71
A000330,1528.0,78338.47
A000331,478.0,80673.87
A000332,1423.0,31131.33
A000333,1059.0,78063.83
A000334,561.0,28003.15
A000335,1445.0,71367.8
A000336,1287.0,91688.5
A000337,994.0,78499.27
A000338,1092.0,48705.65
A000339,674.0,97589.74
A000340,784.0,42153.83
A000341,744.0,78417.46
A000342,1461.0,113321.27
A000343,1507.0,87553.5
A000344,1182.0,107590.76
A000345,1107.0,49800.96
A000346,439.0,94683.51
A000347,942.0,59512.87
A000348,748.0,26868.01
A000349,533.0,44531.46
A000350,628.0,107350.28
A000351,1352.0,29323.21
A000352,1439.0,36768.33
A000353,1410.0,99763.35
A000354,760.0,95409.68
A000355,902.0,61122.54
A000356,941.0,31790.27
A000357,1064.0,115183.24
A000358,817.0,54595.88
A000359,1415.0,117309.8
A000360,613.0,37500.79
A000361,1032.0,114615.95
A000362,1326.0,108877.97
A000363,448.0,93410.13
A000364,1295.0,53927.37
A000365,626.0,70253.27
A000366,1036.0,103500.28
A000367,1010.0,94127.43
A000368,1346.0,80415.4
A000369,668.0,37317.2
A000370,421.0,69350.18
A000371,952.0,25419.86
A000372,925.0,66510.04
A000373,509.0,30035.57
A000374,1030.0,56977.31
A000375,1099.0,106333.42
A000376,531.0,83280.11
A000377,1551.0,111158.45
A000378,1282.0,96380.73
A000379,823.0,58713.57
A000380,630.0,28722.22
A000381,1196.0,77667.63
A000382,1260.0,113144.89
A000383,829.0,93207.4
A000384,749.0,20543.64
A000385,1249.0,51147.97
A000386,679.0,86359.71
A000387,552.0,67106.18
A000388,1060.0,36481.46
A000389,452.0,75946.16
A000390,1560.0,26047.52
A000391,591.0,48555.27
A000392,1097.0,81455.44
A000393,943.0,89029.43
A000394,896.0,58163.47
A000395,1355.0,107583.59
A000396,912.0,85517.29
A000397,712.0,36492.14
A000398,656.0,52479.95
A000399,450.0,103291.6
A000400,756.0,73776.25
A000401,643.0,31791.46
A000402,1126.0,68592.15
A000403,936.0,50780.25
A000404,1257.0,47956.04
A000405,1395.0,104622.25
A000406,686.0,128487.19
A000407,1011.0,38317.64
A000408,501.0,74260.59
A000409,618.0,109323.01
A000410,516.0,27278.15
A000411,559.0,12805.31
A000412,1191.0,25577.69
A000413,1576.0,75645.49
A000414,1558.0,39712.82
A000415,1341.0,79541.09
A000416,878.0,117824.96
A000417,1179.0,112949.17
A000418,1168.0,99014.28
A000419,1095.0,34193.82
A000420,614.0,36003.27
A000421,726.0,90524.12
A000422,1427.0,68891.58
A000423,809.0,39268.86
A000424,971.0,111984.02
A000425,875.0,40998.98
A000426,732.0,53986.18
A000427,1227.0,35432.94
A000428,724.0,99652.4
A000429,670.0,103886.34
A000430,460.0,74877.15
A000431,853.0,71304.54
A000432,1206.0,94013.56
A000433,739.0,68389.08
A000434,419.0,79845.03
A000435,502.0,48973.08
A000436,1534.0,104684.73
A000437,947.0,35089.88
A000438,1317.0,42101.2
A000439,970.0,83635.94
A000440,1075.0,58656.55
A000441,1203.0,64925.1
A000442,555.0,10825.61
A000443,744.0,57707.36
A000444,1010.0,29959.65
A000445,819.0,35398.4
A000446,459.0,75254.37
A000447,578.0,131965.83
A000448,849.0,76898.98
A000449,1071.0,120763.55
A000450,786.0,104408.16
A000451,1026.0,39226.71
A000452,1208.0,96069.13
A000453,1189.0,70706.7
A000454,1364.0,98911.14
A000455,1127.0,70032.25
A000456,565.0,42600.22
A000457,1575.0,15117.96
A000458,1268.0,74207.36
A000459,463.0,85331.36
A000460,674.0,84283.47
A000461,592.0,65159.55
A000462,1335.0,126379.42
A000463,1288.0,17886.37
A000464,969.0,102180.69
A000465,1383.0,104890.56
A000466,615.0,25291.39
A000467,1028.0,63622.67
A000468,1596.0,36546.16
A000469,902.0,94841.53
A000470,653.0,119150.23
A000471,1535.0,27496.51
A000472,1032.0,100172.12
A000473,846.0,106882.23
A000474,721.0,43007.74
A000475,652.0,94627.51
A000476,808.0,63833.62
A000477,414.0,27076.13
A000478,1143.0,48330.48
A000479,436.0,122013.28
A000480,1386.0,32416.7
A000481,1488.0,99362.13
A000482,1043.0,92033.13
A000483,1268.0,90890.79
A000484,809.0,111511.56
A000485,674.0,26094.53
A000486,638.0,101136.59
A000487,1509.0,116660.57
A000488,1019.0,30050.25
A000489,1535.0,82232.54
A000490,736.0,79132.28
A000491,949.0,100472.65
A000492,1209.0,32508.34
A000493,553.0,73932.36
A000494,1190.0,123242.87
A000495,815.0,99109.85
A000496,995.0,108173.28
A000497,1340.0,33616.9
A000498,1204.0,65838.55
A000499,729.0,54287.88
A000500,1508.0,48296.27
A000501,1114.0,69268.99
A000502,709.0,60461.2
A000503,1556.0,109678.87
A000504,679.0,88715.42
A000505,1550.0,109714.87
A000506,671.0,84424.69
A000507,1162.0,97239.77
A000508,1268.0,19189.59
A000509,613.0,110637.23
A000510,828.0,55183.51
A000511,530.0,85566.66
A000512,1243.0,76212.14
A000513,1313.0,92232.35
A000514,589.0,43405.93
A000515,617.0,110536.89
A000516,1559.0,145988.63
A000517,878.0,104017.88
A000518,832.0,75313.21
A000519,1348.0,26169.52
A000520,1386.0,73565.16
A000521,470.0,55697.14
A000522,457.0,23145.17
A000523,1596.0,35457.7
A000524,1230.0,95890.49
A000525,580.0,77927.16
A000526,608.0,26911.0
A000527,589.0,65955.96
A000528,1163.0,42437.69
A000529,590.0,31530.27
A000530,1175.0,114688.49
A000531,925.0,69954.34
A000532,1386.0,80145.32
A000533,1522.0,37666.69
A000534,1105.0,26750.21
A000535,855.0,69238.52
A000536,996.0,113715.97
A000537,1024.0,102759.58
A000538,633.0,48293.58
A000539,443.0,63753.3
A000540,492.0,99945.05
A000541,1472.0,39481.55
A000542,1471.0,15193.78
A000543,1247.0,67273.16
A000544,1178.0,121091.18
A000545,555.0,60279.4
A000546,1436.0,61922.27
A000547,815.0,42384.67
A000548,1358.0,76897.5
A000549,1229.0,129182.34
A000550,807.0,71320.52
A000551,1438.0,72638.77
A000552,1594.0,100989.68
A000553,480.0,39372.41
A000554,777.0,27398.02
A000555,1282.0,31189.39
A000556,1144.0,50789.58
A000557,1310.0,106470.31
A000558,500.0,19785.56
A000559,941.0,101981.28
A000560,1521.0,26561.48
A000561,494.0,81425.31
A000562,609.0,121978.31
A000563,1161.0,103939.16
A000564,495.0,25820.32
A000565,1325.0,101280.1
A000566,1512.0,96418.12
A000567,850.0,54304.06
A000568,1418.0,111693.2
A000569,869.0,78022.7
A000570,1170.0,86073.0
A000571,546.0,67069.46
A000572,1173.0,97222.88
A000573,522.0,101177.91
A000574,1312.0,61743.57
A000575,525.0,102060.72
A000576,746.0,89162.94
A000577,1418.0,31480.26
A000578,1448.0,51814.81
A000579,965.0,98903.1
A000580,966.0,52244.05
A000581,480.0,61754.56
A000582,691.0,73211.73
A000583,903.0,71819.31
A000584,1063.0,50096.66
A000585,1009.0,29623.84
A000586,651.0,73547.34
A000587,1346.0,60511.88
A000588,1067.0,67964.4
A000589,427.0,109563.03
A000590,540.0,49379.44
A000591,970.0,110451.56
A000592,1241.0,115742.98
A000593,1581.0,83146.14
A000594,799.0,47041.74
A000595,1370.0,81909.67
A000596,1220.0,115581.72
A000597,1569.0,122874.17
A000598,608.0,79080.54
A000599,729.0,68781.25
A000600,1212.0,59844.91
A000601,555.0,50736.48
A000602,1329.0,100847.77
A000603,1562.0,64829.36
A000604,1533.0,45464.81
A000605,859.0,105108.06
A000606,1457.0,116113.58
A000607,993.0,90381.59
A000608,805.0,39863.54
A000609,412.0,68448.24
A000610,990.0,128176.22
A000611,577.0,38995.86
A000612,1010.0,41022.67
A000613,466.0,58504.74
A000614,1205.0,22931.13
A000615,895.0,78919.9
A000616,938.0,67383.84
A000617,1516.0,103733.06
A000618,1397.0,43233.49
A000619,1273.0,24956.95
A000620,980.0,90811.59
A000621,1445.0,48001.73
A000622,1283.0,116630.05
A000623,1385.0,25963.9
A000624,438.0,43302.98
A000625,704.0,67653.09
A000626,1034.0,58001.26
A000627,842.0,88890.42
A000628,1261.0,49226.49
A000629,870.0,91454.56
A000630,713.0,59674.6
A000631,1526.0,69368.52
A000632,1167.0,87474.59
A000633,1190.0,32819.16
A000634,564.0,91300.04
A000635,1153.0,69859.08
A000636,651.0,105723.83
A000637,636.0,35759.4
A000638,1164.0,105872.61
A000639,462.0,59487.25
A000640,870.0,56393.0
A000641,1211.0,16509.09
A000642,1511.0,79916.46
A000643,805.0,123523.43
A000644,517.0,99757.98
A000645,602.0,88822.45
A000646,1150.0,76147.18
A000647,1121.0,36508.61
A000648,1115.0,71706.01
A000649,812.0,88118.72
A000650,840.0,46503.14
A000651,1101.0,41416.0
A000652,1080.0,43899.18
A000653,1424.0,91575.71
A000654,1500.0,133046.43
A000655,1357.0,80357.93
A000656,451.0,61833.9
A000657,545.0,19847.93
A000658,1149.0,93673.92
A000659,640.0,89756.17
A000660,1541.0,47674.31
A000661,974.0,123423.16
A000662,701.0,113677.07
A000663,932.0,65356.39
A000664,431.0,56935.12
A000665,497.0,96202.53
A000666,1033.0,51424.2
A000667,1496.0,117111.86
A000668,777.0,81173.43
A000669,1295.0,32545.29
A000670,804.0,94962.28
A000671,429.0,45492.25
A000672,1377.0,113892.82
A000673,761.0,119722.99
A000674,626.0,62472.98
A000675,923.0,77056.91
A000676,827.0,84240.01
A000677,908.0,73701.19
A000678,1409.0,103365.75
A000679,866.0,78384.14
A000680,439.0,115459.43
A000681,714.0,124516.7
A000682,913.0,79400.67
A000683,1101.0,22848.61
A000684,655.0,47275.96
A000685,1424.0,92778.05
A000686,1380.0,36290.15
A000687,971.0,38125.06
A000688,1137.0,122450.92
A000689,959.0,32922.97
A000690,1443.0,32613.91
A000691,865.0,70258.68
A000692,1392.0,39049.45
A000693,1250.0,37895.46
A000694,1574.0,104104.55
A000695,800.0,59344.68
A000696,546.0,117824.65
A000697,1580.0,64692.72
A000698,841.0,23098.7
A000699,752.0,29374.47
A000700,1121.0,81703.63
A000701,1247.0,46110.18
A000702,973.0,88755.43
A000703,416.0,38604.15
A000704,498.0,64270.56
A000705,767.0,53584.2
A000706,1433.0,58158.58
A000707,1372.0,20801.22
A000708,543.0,37737.53
A000709,565.0,35122.82
A000710,1295.0,32109.43
A000711,1071.0,40860.06
A000712,459.0,40107.04
A000713,672.0,80355.47
A000714,522.0,25301.81
A000715,655.0,65885.78
A000716,543.0,75691.11
A000717,875.0,121347.44
A000718,880.0,87388.66
A000719,1583.0,32053.82
A000720,694.0,124753.48
A000721,858.0,31443.27
A000722,883.0,32942.59
A000723,1304.0,62641.56
A000724,901.0,98195.08
A000725,1047.0,21530.49
A000726,881.0,68843.51
A000727,426.0,97198.68
A000728,884.0,118498.69
A000729,1589.0,114130.12
A000730,602.0,81870.05
A000731,1577.0,76849.17
A000732,1342.0,130936.03
A000733,808.0,76800.54
A000734,849.0,36862.39
A000735,988.0,66226.23
A000736,1443.0,83992.58
A000737,1336.0,75245.07
A000738,999.0,63798.55
A000739,898.0,110394.73
A000740,896.0,86608.34
A000741,477.0,102923.45
A000742,794.0,79754.88
A000743,971.0,100421.09
A000744,1562.0,22655.94
A000745,1211.0,68594.86
A000746,1259.0,48096.34
A000747,727.0,27114.15
A000748,1029.0,40707.51
A000749,1550.0,66296.7
A000750,646.0,33273.78
A000751,1351.0,78714.88
A000752,1579.0,34097.65
A000753,1333.0,47570.97
A000754,1583.0,123992.23
A000755,1555.0,109537.17
A000756,1096.0,58846.93
A000757,1413.0,78255.73
A000758,533.0,46174.93
A000759,581.0,95604.29
A000760,1034.0,54626.95
A000761,1329.0,94162.19
A000762,472.0,49787.03
A000763,1407.0,47639.61
A000764,1388.0,77515.7
A000765,1544.0,40385.15
A000766,428.0,86722.68
A000767,511.0,63866.11
A000768,718.0,76567.76
A000769,719.0,29745.03
A000770,745.0,41576.86
A000771,1118.0,64215.24
A000772,506.0,87721.09
A000773,772.0,29093.96
A000774,539.0,52355.2
A000775,802.0,79030.2
A000776,1362.0,61195.97
A000777,1142.0,112838.02
A000778,959.0,106151.9
A000779,867.0,55503.06
A000780,817.0,111376.66
A000781,1300.0,60212.88
A000782,469.0,71661.28
A000783,1424.0,88994.63
A000784,1212.0,99565.33
A000785,1286.0,27826.77
A000786,725.0,80386.36
A000787,989.0,58828.03
A000788,808.0,81141.86
A000789,1426.0,80660.45
A000790,600.0,30206.05
A000791,1590.0,136573.26
A000792,960.0,85964.44
A000793,496.0,93325.61
A000794,1231.0,88560.91
A000795,1401.0,125383.31
A000796,882.0,101192.76
A000797,1002.0,119551.84
A000798,1403.0,117558.0
A000799,726.0,78572.62
A000800,1553.0,28497.89
A000801,1360.0,32590.07
A000802,823.0,39826.04
A000803,1198.0,114026.31
A000804,1225.0,75359.24
A000805,554.0,89878.72
A000806,1287.0,59200.33
A000807,1506.0,24661.84
A000808,933.0,78848.26
A000809,479.0,45532.98
A000810,1397.0,63856.54
A000811,1025.0,41820.17
A000812,748.0,56725.6
A000813,747.0,107693.06
A000814,701.0,21089.17
A000815,1351.0,85861.78
A000816,1482.0,29247.52
A000817,680.0,77789.23
A000818,637.0,44443.74
A000819,518.0,47172.59
A000820,1591.0,48900.25
A000821,1112.0,33194.44
A000822,1325.0,89235.99
A000823,1274.0,43452.84
A000824,917.0,78143.05
A000825,1419.0,32231.99
A000826,488.0,32513.89
A000827,1162.0,40301.06
A000828,1285.0,92754.25
A000829,414.0,59634.86
A000830,1329.0,23063.03
A000831,832.0,39271.53
A000832,472.0,29992.06
A000833,1484.0,65042.19
A000834,920.0,58659.42
A000835,1474.0,99182.83
A000836,1579.0,42024.01
A000837,913.0,75209.5
A000838,520.0,41740.99
A000839,1497.0,32566.37
A000840,563.0,111741.95
A000841,1231.0,112333.9
A000842,682.0,47950.28
A000843,994.0,51847.39
A000844,1462.0,106618.42
A000845,1353.0,63964.6
A000846,1044.0,99565.4
A000847,1386.0,86739.08
A000848,1150.0,60558.14
A000849,1071.0,92974.45
A000850,563.0,40796.23
A000851,1356.0,36731.79
A000852,1571.0,67589.18
A000853,756.0,34361.87
A000854,784.0,31841.25
A000855,820.0,89084.87
A000856,666.0,108660.02
A000857,1111.0,52735.33
A000858,596.0,90256.61
A000859,1215.0,44736.54
A000860,449.0,94706.51
A000861,1422.0,59477.52
A000862,956.0,93637.53
A000863,1485.0,35299.2
A000864,1338.0,49007.53
A000865,1051.0,27169.6
A000866,601.0,98193.53
A000867,677.0,48222.44
A000868,684.0,110846.8
A000869,839.0,53442.64
A000870,504.0,98483.49
A000871,1422.0,58104.84
A000872,1335.0,40831.94
A000873,1163.0,76772.51
A000874,637.0,107449.22
A000875,671.0,31657.73
A000876,571.0,71239.98
A000877,1017.0,60436.46
A000878,498.0,73649.23
A000879,581.0,100051.35
A000880,880.0,114649.33
A000881,416.0,91403.17
A000882,1324.0,50687.94
A000883,479.0,79514.44
A000884,724.0,32244.06
A000885,687.0,54154.06
A000886,1329.0,32934.18
A000887,1248.0,27141.1
A000888,1027.0,81265.74
A000889,1587.0,74726.78
A000890,745.0,81203.29
A000891,803.0,50913.8
A000892,1142.0,72185.36
A000893,760.0,68074.22
A000894,1096.0,83830.86
A000895,926.0,54412.43
A000896,451.0,83455.88
A000897,874.0,36483.27
A000898,1571.0,105209.2
A000899,1104.0,26133.83
A000900,823.0,102915.86
A000901,1263.0,104306.24
A000902,631.0,93545.24
A000903,1432.0,83320.94
A000904,957.0,141858.46
A000905,945.0,45985.05
A000906,939.0,57429.09
A000907,780.0,67888.16
A000908,1416.0,57218.06
A000909,580.0,139562.79
A000910,648.0,68545.47
A000911,1457.0,49317.38
A000912,1026.0,56049.09
A000913,1015.0,21942.9
A000914,908.0,57934.91
A000915,915.0,104513.73
A000916,965.0,34025.03
A000917,1524.0,54799.59
A000918,460.0,92076.86
A000919,815.0,10440.83
A000920,1495.0,44085.38
A000921,1572.0,75183.87
A000922,1338.0,46197.38
A000923,511.0,56744.86
A000924,802.0,106244.02
A000925,1416.0,52270.93
A000926,889.0,71665.08
A000927,1552.0,53159.07
A000928,792.0,34543.68
A000929,1482.0,101840.73
A000930,596.0,79010.53
A000931,1056.0,24000.84
A000932,694.0,24277.54
A000933,610.0,99060.07
A000934,941.0,42635.41
A000935,1046.0,36402.52
A000936,982.0,85519.14
A000937,545.0,89746.3
A000938,1117.0,54096.37
A000939,1040.0,31716.48
A000940,1580.0,12289.94
A000941,1203.0,27494.1
A000942,611.0,46568.28
A000943,910.0,29539.18
A000944,465.0,79039.42
A000945,1296.0,96589.05
A000946,495.0,53061.28
A000947,1230.0,85038.09
A000948,1235.0,87839.95
A000949,880.0,29158.09
A000950,1489.0,43696.02
A000951,762.0,30703.83
A000952,548.0,82220.32
A000953,884.0,46815.9
A000954,788.0,113349.39
A000955,694.0,102184.08
A000956,1114.0,33467.9
A000957,503.0,91967.53
A000958,1572.0,113075.67
A000959,1348.0,94953.17
A000960,1576.0,47352.64
A000961,1573.0,66145.12
A000962,526.0,106206.91
A000963,1369.0,101987.41
A000964,513.0,119393.73
A000965,1277.0,71695.91
A000966,504.0,103038.35
A000967,1324.0,57305.76
A000968,1359.0,41900.18
A000969,1110.0,82989.15
A000970,1275.0,62098.13
A000971,938.0,37477.15
A000972,1218.0,97389.82
A000973,1251.0,27717.39
A000974,799.0,54748.44
A000975,1499.0,104954.63
A000976,1357.0,35907.57
A000977,1454.0,31587.21
A000978,1222.0,82278.04
A000979,646.0,117464.57
A000980,1518.0,57880.62
A000981,1168.0,66475.31
A000982,1546.0,53704.41
A000983,695.0,88173.62
A000984,650.0,66342.04
A000985,1345.0,86673.38
A000986,971.0,55923.23
A000987,1081.0,35148.2
A000988,1099.0,98798.92
A000989,1327.0,87113.9
A000990,1182.0,27612.22
A000991,1158.0,87428.84
A000992,446.0,50170.56
A000993,449.0,106347.2
A000994,1233.0,41720.04
A000995,1303.0,80185.65
A000996,711.0,85974.36
A000997,961.0,48019.89
A000998,417.0,33466.96
A000999,1109.0,76975.49
A001000,446.0,76275.41
A001001,690.0,89491.77
A001002,1458.0,101423.93
A001003,1401.0,101733.61
A001004,937.0,69426.78
A001005,835.0,33494.32
A001006,1036.0,16124.64
A001007,991.0,40426.81
A001008,1051.0,40805.66
A001009,773.0,94590.09
A001010,1259.0,104208.02
A001011,1147.0,106737.8
A001012,685.0,33029.59
A001013,740.0,27956.96
A001014,1329.0,108637.42
A001015,641.0,52680.38
A001016,1476.0,89689.09
A001017,872.0,72903.39
A001018,1447.0,34452.69
A001019,1154.0,78490.12
A001020,1292.0,74369.07
A001021,1263.0,51477.14
A001022,897.0,82934.47
A001023,826.0,95776.11
A001024,1413.0,127503.97
A001025,941.0,40359.34
A001026,981.0,55988.06
A001027,812.0,26425.59
A001028,1543.0,95162.17
A001029,994.0,117694.5
A001030,1513.0,47392.66
A001031,1387.0,94476.0
A001032,826.0,86880.84
A001033,1489.0,79558.88
A001034,850.0,99217.58
