user_id,num_accounts,txn_count,total_txn_amount,avg_portfolio_value
U00082,1,36,100457.06,87384.16
U00083,3,75,197028.34,62734.5
U00084,2,32,93334.18,39869.16
U00085,3,69,195234.64,66409.05
U00086,2,43,125229.28,57421.45
U00087,6,193,568823.73,96698.36
U00088,1,39,115350.72,96381.04
U00090,3,87,254517.98,90325.28
U00091,4,125,326337.67,79316.79
U00092,2,41,125941.43,55233.61
U00093,4,131,361562.52,70194.39
U00094,2,70,180433.14,82976.38
U00096,5,126,328877.61,61056.72
U00097,2,50,141565.47,66363.06
U00098,6,194,507393.12,73098.58
U00099,5,154,411644.72,78991.34
U00101,4,145,367460.3,84903.08
U00102,2,60,185687.12,130741.93
U00103,2,79,197586.66,79644.85
U00105,3,93,258006.42,72588.16
U00106,3,69,194515.14,57854.22
U00107,2,71,203658.49,95811.68
U00108,3,101,314699.88,99667.49
U00109,3,116,315448.98,92600.56
U00110,2,79,206107.66,93558.76
U00111,1,44,122196.42,85659.06
U00113,2,76,220964.23,98515.51
U00114,2,51,147378.77,80034.49
U00115,1,28,72664.67,43678.27
U00117,1,33,81917.38,63850.88
U00118,2,91,219442.86,90999.11
U00119,1,20,49772.99,26122.29
U00120,2,38,95068.15,41016.33
U00122,3,76,213209.95,75474.1
U00124,1,17,40866.27,36489.85
U00125,1,32,90619.6,64737.74
U00126,3,83,226751.42,85118.78
U00127,3,116,315395.81,88536.84
U00128,1,26,61216.2,51594.84
U00129,3,71,184298.95,55862.5
U00130,4,104,292109.45,75983.3
U00131,4,170,489755.66,94206.34
U00132,2,60,177966.9,100400.15
U00133,2,43,120669.38,52603.05
U00135,2,50,141917.83,69665.05
U00136,1,49,131196.26,127413.18
U00137,4,120,337230.23,89570.8
U00139,1,22,61968.78,53682.44
U00140,2,66,172476.76,79882.28
U00141,2,61,151972.57,76352.52
U00142,1,50,138508.28,125154.02
U00143,1,20,44146.24,28062.59
U00144,1,48,121296.06,108446.68
U00145,2,31,90864.32,41749.11
U00148,1,34,87835.11,76780.55
U00149,5,183,489245.71,95639.48
U00150,1,26,73329.45,61111.75
U00151,3,98,262102.91,77577.67
U00152,4,142,426556.31,106913.45
U00154,3,87,234857.96,70014.48
U00155,3,97,261965.42,90349.95
U00157,1,33,94124.5,78452.62
U00158,3,113,326271.22,106674.37
U00159,1,48,137381.68,114344.52
U00160,9,255,722928.12,76857.22
U00161,1,34,94774.86,89290.0
U00162,4,86,241172.37,63460.52
U00165,1,15,40789.04,35068.35
U00167,5,159,427692.19,98340.72
U00170,2,57,180255.47,88505.82
U00171,2,74,216659.57,97982.17
U00172,3,100,272665.52,77925.5
U00173,1,21,45628.86,34823.94
U00174,3,75,197624.96,49939.6
U00175,3,124,326257.4,100978.75
U00176,2,78,180290.98,73313.36
U00177,1,30,77605.33,45555.07
U00178,1,33,88752.75,86911.85
U00179,4,104,251973.8,65469.08
U00180,3,100,254755.97,94365.73
U00181,3,104,299414.72,101696.25
U00182,4,98,248650.52,52395.62
U00183,4,99,279828.96,59527.86
U00184,1,44,119271.36,112757.56
U00185,1,37,100539.37,84481.25
U00187,1,24,63377.87,56534.57
U00188,3,108,271921.55,89937.45
U00189,2,52,126110.51,58248.17
U00191,7,222,622506.55,86623.34
U00193,2,86,220796.39,102147.18
U00194,1,13,40757.73,40757.73
U00195,2,56,147261.42,52113.44
U00196,1,30,80726.64,73483.0
U00197,6,195,579314.52,87989.19
U00198,2,74,189695.72,95504.28
U00199,4,131,340811.04,79178.91
U00200,1,17,46594.37,36576.75
U00201,3,101,274367.65,98903.11
U00202,3,80,210581.07,58351.99
U00203,2,87,226919.69,97003.71
U00206,1,17,48145.84,44517.24
U00207,2,40,99772.02,45899.69
U00210,1,39,92620.24,76885.35
U00211,1,12,30767.32,27638.86
U00212,5,154,415681.25,87848.76
U00213,2,61,149285.89,61382.82
U00214,1,21,42527.98,37849.66
U00216,2,69,174212.39,75121.42
U00217,4,61,184815.08,42099.48
U00218,2,50,147185.1,82760.99
U00220,3,65,178159.8,59734.99
U00221,4,116,322878.71,74491.79
U00222,3,81,211246.58,61046.23
U00223,1,20,48328.76,43037.28
U00224,3,89,234335.21,58679.0
U00225,4,146,391165.6,84011.4
U00226,3,75,188592.35,63576.39
U00227,2,56,178257.06,87508.31
U00228,5,122,341126.3,68690.32
U00229,2,54,146386.26,64567.76
U00230,1,29,89242.51,68352.79
U00231,5,167,449170.0,85089.91
U00232,4,114,343430.18,87732.92
U00233,3,107,299287.65,94463.63
U00235,1,35,89310.41,72540.51
U00236,3,109,288890.92,84291.95
U00237,4,112,288212.87,63254.65
U00238,3,74,195321.39,52736.33
U00239,4,116,319798.57,80688.13
U00240,5,117,287269.05,63972.89
U00242,1,41,107921.11,89723.87
U00243,2,71,183598.71,84197.36
U00244,2,42,120687.18,50528.55
U00245,2,48,135355.28,65858.9
U00246,2,50,123822.6,52436.43
U00247,2,93,269065.22,115199.37
U00248,2,38,117194.55,58555.75
U00249,3,91,243373.56,72166.75
U00250,1,46,121233.45,114149.69
U00251,3,122,375966.98,110608.22
U00252,1,23,67658.44,58890.04
U00253,3,99,269193.45,87919.49
U00254,1,28,77971.89,65441.15
U00255,2,51,141300.72,69808.44
U00256,1,42,138283.47,128763.45
U00257,2,87,232836.76,97252.66
U00258,3,107,275169.72,94977.55
U00259,1,26,57169.35,47366.59
U00260,3,123,336688.42,92531.16
U00261,4,119,341447.6,87196.77
U00262,3,89,274610.27,94472.9
U00263,2,65,203205.99,110800.67
U00264,6,180,529201.44,93017.39
U00265,5,158,433282.17,85648.79
U00266,1,26,59581.26,50543.56
U00267,4,129,390087.34,89548.81
U00268,3,80,216565.78,82822.59
U00269,3,91,264283.31,79365.69
U00270,1,28,70147.77,58322.67
U00271,2,79,221345.68,91806.16
U00272,2,94,260348.25,111755.03
U00273,2,70,182097.59,83321.56
U00274,3,100,297436.19,113286.2
U00275,4,109,276119.53,72935.2
U00276,2,65,162914.45,95165.15
U00278,3,49,126626.58,48233.45
U00279,1,12,43280.03,33469.89
U00280,1,31,92447.27,84713.95
U00281,3,108,306882.38,97912.19
U00282,2,37,95119.6,45837.01
U00283,1,12,23476.62,20075.08
U00284,2,35,115781.23,55502.99
U00285,1,39,115007.42,99241.82
U00286,2,59,169082.31,79980.08
U00287,3,66,163329.8,49183.88
U00288,2,54,160438.52,70275.43
U00289,2,58,141378.96,76584.04
U00290,2,66,175578.97,80795.03
U00291,1,11,32745.98,32745.98
U00292,2,61,179857.83,90724.49
U00293,2,62,183181.51,88119.1
U00294,2,47,127338.9,64516.9
U00295,1,24,64795.83,44545.65
U00297,3,81,231288.42,69831.3
U00298,2,62,166069.57,87301.98
U00299,1,29,80632.81,59052.05
U00300,2,73,188668.29,90938.97
U00301,2,64,164760.17,80029.4
U00302,5,135,395768.14,73017.46
U00304,4,93,233044.98,55888.82
U00305,2,78,228389.79,109731.99
U00306,2,76,210283.67,92639.02
U00307,1,28,89905.89,76913.39
U00308,3,77,226182.64,83768.21
U00309,1,16,40297.12,40297.12
U00311,3,55,152374.26,49397.06
U00312,1,46,150511.24,112838.52
U00314,2,78,226638.5,103817.06
U00315,1,48,132035.55,126650.25
U00316,2,75,224264.17,105707.04
U00317,3,116,324174.28,102957.15
U00318,4,70,184061.87,47420.78
U00319,2,45,112661.48,46772.35
U00320,6,193,539995.08,93012.22
U00321,1,22,53352.47,41691.45
U00322,2,37,105458.44,46304.59
U00323,1,30,81406.53,58909.99
U00324,2,64,167281.78,96121.99
U00325,3,72,216935.39,64999.71
U00326,2,57,170791.23,92345.99
U00328,2,66,183286.01,87613.12
U00329,1,18,45851.69,38829.09
U00330,1,34,111709.68,98734.42
U00331,3,118,342739.04,107339.51
U00332,3,83,241416.36,78804.78
U00333,1,40,97894.17,88122.25
U00334,4,114,327827.6,80619.63
U00335,3,96,267953.88,80473.74
U00336,3,116,318841.08,92147.33
U00337,4,117,297397.24,71679.68
U00338,2,79,203374.84,88536.34
U00339,3,68,185589.03,51014.57
U00340,3,73,197453.02,72398.59
U00341,2,67,200173.36,91295.45
U00343,4,126,352077.57,83598.87
U00344,4,148,412714.74,93513.56
U00345,1,15,37768.03,22920.66
U00346,4,129,387328.32,93112.52
U00347,3,45,119188.35,36183.73
U00348,1,32,84025.07,67871.49
U00349,1,46,114071.23,99564.69
U00350,2,71,199343.93,79768.55
U00351,1,13,34386.15,29549.08
U00352,2,25,63114.24,26333.32
U00353,1,35,95535.52,85752.6
U00354,3,78,222667.56,74402.21
U00355,2,54,134926.19,71774.81
U00356,1,25,50905.6,35215.1
U00357,2,53,145765.49,66274.87
U00358,3,116,315441.82,96936.98
U00359,1,21,56881.52,46812.82
U00360,7,207,607179.99,90843.74
U00361,3,76,217693.48,78851.91
U00362,1,39,100932.43,81056.8
U00363,2,56,124811.22,60301.64
U00364,1,15,41317.6,30695.75
U00365,5,132,350460.54,70054.78
U00366,3,70,196228.7,59924.43
U00367,1,37,108665.71,106847.19
U00368,3,74,202382.71,63721.9
U00369,1,40,129806.37,127122.19
U00370,2,72,193043.32,95105.22
U00371,4,100,273970.5,58134.33
U00372,3,90,251765.03,79460.0
U00373,2,37,108793.45,53053.45
U00374,3,128,348934.1,106249.95
U00375,3,116,305852.04,83163.12
U00378,3,89,230590.4,85342.31
U00379,2,48,141687.92,60822.43
U00382,2,82,200852.57,81739.02
U00383,1,18,46658.27,31524.01
U00384,2,34,96431.2,43968.33
U00386,1,10,30208.09,25590.47
U00387,4,91,277849.08,56557.03
U00388,1,28,71722.82,37775.67
U00389,3,89,200809.75,69624.28
U00390,2,77,215135.3,95574.36
U00391,2,66,169518.19,64266.11
U00392,4,99,270997.26,63375.61
U00393,5,156,418389.17,82419.4
U00394,2,80,227485.3,101208.21
U00395,4,100,277188.35,65113.04
U00396,2,72,193981.67,87356.64
U00397,4,127,370231.43,91334.73
U00398,1,16,45235.56,43142.7
U00399,1,17,45395.69,41148.57
U00400,2,68,179837.83,80540.08
U00402,3,60,168356.32,49351.97
U00403,1,26,74086.45,74086.45
U00404,1,26,78379.58,71616.34
U00405,4,137,392337.05,90060.57
U00406,1,23,73270.29,60242.81
U00409,2,30,92870.29,46408.59
U00411,1,33,99484.26,83459.92
U00412,2,39,112788.87,49570.2
U00413,3,75,238063.59,97997.82
U00416,2,53,144155.54,59217.76
U00417,1,28,61958.4,48673.36
U00418,2,67,190425.86,97637.38
U00419,1,41,115349.28,107245.78
U00420,4,158,443188.89,100620.09
U00421,2,51,148500.44,55127.35
U00422,3,60,165890.22,49939.32
U00424,3,83,236570.24,82533.38
U00425,3,117,330890.71,92991.18
U00426,3,72,201772.01,65297.1
U00427,2,64,172016.16,87737.64
U00428,1,37,112647.69,104724.75
U00430,2,67,176769.88,83962.3
U00431,4,126,322007.42,78196.36
U00433,4,123,378632.93,82933.56
U00434,1,24,61679.55,60457.77
U00435,3,49,160531.42,53436.9
U00436,2,48,150440.91,65305.02
U00437,5,158,456974.78,82224.19
U00438,2,26,74103.4,33279.07
U00439,2,45,126177.57,58440.84
U00440,3,56,156437.24,54260.78
U00441,2,65,169421.3,93816.28
U00442,2,36,98143.62,49384.75
U00443,2,72,204224.57,85995.98
U00444,4,102,275137.1,63582.31
U00446,4,118,314570.22,72054.6
U00448,1,41,118682.45,109273.31
U00449,3,59,173813.47,58060.82
U00450,1,49,133490.42,108723.45
U00451,7,178,514593.17,64407.97
U00452,3,79,231001.6,70061.06
U00453,2,74,206674.33,94296.94
U00454,2,92,261617.67,109918.72
U00455,1,40,96827.36,94335.34
U00456,1,45,106518.12,82337.34
U00457,1,15,46182.06,39731.8
U00458,4,141,412952.89,98906.76
U00459,5,152,399713.04,79106.96
U00460,2,57,168419.85,83005.12
U00461,5,153,436452.63,96058.7
U00462,2,52,151686.43,73998.78
U00463,3,61,171143.69,58060.57
U00464,3,105,317259.15,96759.75
U00466,4,136,403604.01,100659.08
U00467,2,62,184414.9,98483.04
U00468,2,74,221228.6,101510.81
U00469,2,57,164769.33,78100.04
U00470,1,32,92630.45,88660.93
U00471,2,24,84295.61,35462.65
U00472,1,41,113268.91,85133.49
U00473,3,113,321165.78,93329.63
U00474,1,48,123650.18,97719.98
U00475,2,81,231766.62,102007.44
U00476,1,18,48945.13,47357.47
U00477,2,23,53760.65,24353.9
U00478,5,186,506186.78,91442.36
U00479,1,40,113584.34,102908.3
U00480,2,71,183002.45,85645.74
U00481,3,74,210131.4,78427.87
U00482,2,68,178914.72,88177.68
U00483,1,39,126872.33,105925.37
U00485,5,194,517309.88,96284.81
U00486,2,45,123206.15,72233.13
U00487,4,122,343175.95,87145.05
U00488,4,142,371656.3,88214.88
U00489,4,91,235869.04,70074.78
U00490,2,64,188726.45,102884.43
U00492,1,46,129192.54,123190.88
U00493,1,27,72255.84,60891.42
U00494,2,55,164572.07,75214.66
U00495,1,11,28500.75,21647.39
U00498,1,40,110610.02,85936.44
U00499,1,48,125512.62,104810.9
U00500,1,42,130517.51,118684.43
U00501,1,14,29013.71,23786.26
U00502,3,64,200384.45,73719.6
U00503,1,47,148203.71,141828.57
U00504,2,42,119040.04,70373.95
U00505,1,17,63340.2,59624.02
U00507,3,83,220979.33,72194.29
U00508,2,75,211965.18,104239.09
U00509,2,41,126225.78,56028.73
U00510,3,114,302801.89,89231.22
U00511,4,86,236761.2,75708.3
U00512,3,86,225632.95,67319.96
U00513,1,41,113328.87,97329.49
U00514,3,99,253350.18,85282.35
U00515,3,93,256172.93,93001.04
U00516,3,73,218730.74,97612.79
U00517,4,144,412189.4,103260.5
U00518,1,14,40854.96,36390.26
U00519,4,111,314215.03,76922.2
U00520,4,153,435363.84,94325.28
U00521,1,35,92961.39,77707.75
U00522,2,71,192981.8,75176.67
U00523,3,93,266628.6,85657.49
U00524,5,118,340371.18,60580.21
U00525,3,129,363129.3,102399.35
U00526,4,109,289074.88,69041.25
U00527,1,48,133698.07,116587.99
U00528,3,94,245946.75,80476.19
U00530,3,68,197634.32,74925.35
U00531,3,126,352810.46,108076.63
U00532,1,14,35970.1,31144.24
U00533,2,27,73738.56,36361.97
U00534,3,52,124324.29,38260.84
U00535,1,40,118666.86,102660.84
U00536,2,67,182643.07,72496.22
U00537,3,116,295975.5,84744.46
U00538,1,30,82601.15,60693.63
U00539,3,124,309497.76,87154.01
U00540,3,89,257082.27,82681.02
U00541,1,26,64957.98,48400.96
U00542,2,60,136497.31,78333.87
U00544,3,98,282114.02,88039.16
U00545,2,60,168103.19,67374.83
U00547,2,55,151563.84,74983.85
U00548,3,65,154402.54,56854.72
U00549,2,35,88361.02,36770.05
U00550,2,46,99003.91,60099.1
U00552,4,127,343103.93,92787.08
U00553,4,105,271025.47,82182.56
U00556,4,95,269203.58,78387.69
U00557,1,17,32112.39,28691.71
U00558,2,82,235884.09,103936.41
U00559,3,75,199547.18,76519.41
U00560,2,67,171063.51,92183.78
U00561,3,60,130521.41,36970.86
U00562,1,27,71376.91,61564.99
U00563,5,129,347134.85,62535.92
U00564,4,137,338790.29,77715.58
U00565,1,23,64263.5,53022.53
U00566,1,18,51308.09,50699.67
U00567,2,75,230749.72,106175.42
U00568,3,76,220224.05,71451.92
U00569,1,26,74606.15,69957.75
U00570,2,69,172403.03,87238.9
U00571,2,46,132416.37,65818.89
U00572,1,36,104946.32,94168.54
U00573,3,103,292310.09,99057.8
U00574,1,11,27029.11,18852.55
U00575,3,123,330665.58,94205.48
U00576,1,37,88305.24,78043.32
U00579,4,116,327470.92,70712.51
U00580,1,32,89103.62,73692.38
U00581,1,38,111691.98,91607.94
U00582,1,36,105928.58,99760.2
U00583,3,130,366402.35,102034.03
U00584,1,42,117775.99,108235.07
U00585,1,14,40704.05,29016.95
U00586,3,75,206020.23,61265.19
U00587,2,92,256979.29,123321.68
U00588,1,31,100682.97,80662.97
U00589,2,74,201741.34,92983.15
U00590,3,107,287487.97,81533.99
U00591,1,32,80906.79,52321.99
U00592,3,133,347784.74,97747.18
U00593,1,27,77162.47,64336.37
U00594,2,26,67124.28,32448.89
U00595,1,15,44990.44,40917.68
U00597,2,61,198779.6,92802.59
U00599,3,83,212283.38,78521.05
U00600,1,50,132664.56,116737.28
U00601,3,107,326443.86,91716.86
U00602,5,145,398078.02,82692.73
U00603,1,19,52936.04,40924.86
U00604,2,33,86655.95,40679.06
U00605,2,53,145860.54,57167.24
U00606,5,132,346146.6,70814.46
U00607,3,99,283487.02,94102.02
U00608,2,35,93165.16,41917.81
U00609,1,50,137738.18,87345.11
U00610,3,97,260451.48,90167.81
U00612,2,56,166591.73,100747.57
U00613,1,27,72672.03,64474.17
U00614,4,151,421511.04,108074.92
U00615,1,27,66751.94,64706.56
U00616,4,71,207068.52,50314.66
U00618,3,95,250834.43,73162.52
U00619,3,98,273971.63,89681.69
U00620,1,48,147745.75,144175.51
U00621,1,45,119725.12,84047.62
U00622,3,93,235817.54,79849.23
U00623,3,95,236102.3,70181.31
U00624,1,28,63541.24,54375.6
U00625,3,101,286486.41,91509.37
U00626,2,77,209615.85,96384.83
U00627,3,70,200445.57,63853.39
U00628,1,24,82268.95,79288.53
U00629,3,96,233186.61,77093.88
U00630,1,20,59391.76,54258.46
U00631,2,39,112662.73,58540.28
U00632,2,24,68750.91,29816.91
U00634,2,86,259041.68,107827.07
U00635,3,52,115149.03,35789.64
U00636,4,77,239056.12,59631.29
U00638,4,124,333163.29,74186.81
U00639,2,78,221119.14,102201.6
U00640,5,166,414262.99,74621.41
U00641,1,23,63660.1,60451.14
U00642,2,82,209594.04,81106.89
U00643,4,162,435192.45,101218.98
U00644,1,15,47571.24,47571.24
U00645,3,64,180326.85,59848.92
U00646,1,16,51123.97,44727.67
U00647,1,34,112503.65,101511.33
U00648,3,91,257284.0,92153.86
U00649,2,43,111643.58,49276.97
U00650,2,25,73280.15,34558.87
U00651,4,140,396520.49,88290.53
U00652,1,11,41962.54,41962.54
U00653,4,161,453168.48,97740.61
U00654,5,127,334849.26,58161.85
U00655,1,50,140556.2,120428.14
U00656,1,48,135480.28,122827.94
U00657,1,10,33163.58,26589.0
U00658,1,39,90078.09,78698.39
U00659,1,23,74125.37,64757.79
U00660,2,58,175732.75,73670.82
U00661,1,15,39090.28,37995.06
U00662,4,103,264966.98,56735.93
U00663,4,125,335198.95,72245.02
U00664,5,134,351074.81,69889.14
U00665,2,71,212330.27,98064.61
U00666,1,47,109400.19,92154.95
U00667,3,107,321530.71,104186.99
U00668,1,14,38019.44,32605.8
U00669,5,113,319364.22,56316.52
U00670,2,36,106939.69,56497.98
U00671,2,43,106964.12,50894.89
U00672,2,41,113930.89,60889.28
U00673,2,57,144177.4,70018.65
U00675,4,96,248658.5,59481.91
U00677,1,39,101964.98,81752.86
U00679,2,46,119869.52,58249.58
U00681,2,63,179038.53,92222.05
U00682,2,79,207254.59,87384.75
U00683,2,62,160168.82,101952.69
U00684,2,21,54397.07,25231.28
U00685,1,16,39204.35,39204.35
U00686,2,64,181103.25,99851.38
U00687,1,50,144654.35,118071.29
U00689,2,62,185262.2,90558.5
U00690,3,63,192482.3,62465.79
U00691,2,65,192928.6,74902.17
U00692,5,161,469176.92,95103.16
U00694,1,32,83871.95,72252.63
U00695,1,14,49813.82,49813.82
U00696,2,78,208919.86,99806.07
U00697,2,65,168123.55,70567.6
U00698,1,10,34600.52,33328.06
U00699,2,69,208739.62,95432.96
U00700,4,81,221142.95,51337.75
U00702,1,45,121765.91,101613.61
U00703,2,51,146012.53,60335.51
U00704,2,54,153691.29,70352.31
U00705,6,195,568525.67,104150.77
U00706,3,107,300070.16,112251.8
U00707,8,265,714359.03,88827.32
U00710,3,110,303541.49,112631.59
U00711,1,47,120740.55,113233.98
U00712,2,77,208873.98,95178.18
U00713,1,43,125011.29,119883.05
U00714,4,138,419151.51,85938.26
U00715,4,143,412362.3,89097.81
U00717,2,50,144970.41,83028.52
U00718,3,107,298897.66,98731.99
U00719,3,42,124774.97,30410.59
U00720,3,64,207360.41,61652.99
U00721,1,34,105054.56,103879.02
U00722,2,63,147767.66,71564.97
U00723,1,46,123398.93,109196.07
U00724,4,112,313067.51,66720.87
U00725,1,48,132199.85,116432.65
U00726,2,71,171610.08,72658.18
U00727,2,89,245832.22,102427.08
U00728,4,112,280574.83,75167.8
U00730,3,123,367351.38,110266.61
U00731,1,33,88219.01,76148.95
U00732,1,17,39311.52,36251.9
U00733,1,31,90677.06,85190.6
U00734,2,62,158821.62,65110.99
U00735,3,82,224745.94,68722.24
U00736,2,30,82328.74,37604.32
U00737,3,77,242113.61,80761.03
U00738,1,12,28412.21,14153.21
U00739,4,142,386153.64,90599.92
U00740,1,21,68918.73,62811.5
U00741,2,35,117223.16,50418.18
U00742,4,89,250819.51,69027.68
U00743,2,79,231291.51,112264.6
U00744,2,72,175231.95,68642.65
U00745,5,158,386826.95,82755.83
U00746,3,119,330805.63,94895.36
U00747,2,95,239421.1,97959.69
U00748,1,25,62437.83,54547.32
U00749,3,71,179498.21,45727.37
U00750,2,45,117842.27,64986.61
U00751,3,64,180574.27,67687.6
U00752,2,62,169531.72,75497.41
U00753,2,70,192953.59,86007.07
U00754,2,37,110840.44,57999.77
U00756,1,37,105702.75,74916.87
U00757,4,135,350915.66,85969.47
U00758,1,50,126552.3,97127.0
U00759,3,130,335596.37,101331.92
U00760,3,93,258995.18,79043.76
U00761,5,154,431165.86,83487.89
U00762,1,37,108245.53,108245.53
U00763,1,36,90009.63,90009.63
U00765,3,81,212598.02,62119.34
U00766,1,49,161376.11,143636.09
U00767,4,103,288716.13,76646.38
U00768,2,79,188757.84,75148.65
U00769,3,86,261864.33,82154.36
U00770,1,31,84141.03,70726.78
U00771,1,34,72530.47,56666.68
U00773,3,83,236684.85,66449.55
U00775,3,72,223621.65,96923.16
U00777,2,91,271508.18,107934.09
U00778,2,54,140325.81,47589.85
U00779,1,27,73713.14,61980.12
U00780,2,51,142709.29,72615.99
U00781,2,75,233292.4,113458.21
U00782,1,22,44027.94,44027.94
U00783,1,32,77189.56,66784.1
U00784,1,41,110226.96,93314.74
U00785,1,14,33592.45,28179.17
U00786,1,37,95099.08,67093.76
U00790,2,60,168980.65,83277.4
U00791,1,40,121285.32,102627.3
U00792,1,32,102597.19,94896.15
U00793,1,34,84449.08,64897.25
U00794,1,21,64065.83,57963.85
U00796,1,28,69503.18,50348.34
U00797,1,21,61038.38,49116.14
U00799,4,115,320659.59,76802.6
U00800,3,60,166114.07,57000.99
U00801,1,40,115241.51,106833.81
U00802,2,93,271704.7,114786.64
U00803,1,25,74508.9,74508.9
U00805,4,101,273662.77,69254.39
U00806,4,125,397611.87,94375.14
U00807,2,93,262018.29,120346.67
U00808,4,127,368683.1,95203.85
U00809,2,36,103635.44,52575.28
U00811,2,57,170799.98,76202.87
U00812,4,81,212224.82,45270.71
U00813,1,21,61705.29,36515.85
U00815,2,63,183708.82,78094.97
U00816,1,19,55284.5,49792.84
U00817,1,12,40122.7,38401.6
U00819,1,31,89475.57,84564.19
U00820,3,94,248240.03,79801.9
U00821,2,69,191879.03,93806.76
U00822,3,86,221674.68,56877.41
U00823,2,76,195738.69,84275.27
U00824,2,31,87993.8,44296.72
U00825,4,94,269657.44,67984.95
U00826,3,87,237931.38,71485.43
U00827,2,48,127349.91,58207.59
U00828,2,65,168503.04,78713.35
U00829,4,93,277343.95,67556.53
U00830,2,67,179647.43,76948.37
U00831,1,35,82277.2,69820.14
U00832,6,185,483168.97,88838.48
U00833,4,85,220523.75,46932.71
U00834,1,27,71854.61,63242.75
U00835,1,13,32211.09,21692.6
U00836,2,66,199840.21,91139.85
U00838,1,16,47802.62,43876.68
U00841,1,38,96702.52,83652.38
U00842,3,69,156847.41,55603.72
U00843,5,146,409461.91,76904.35
U00844,1,15,33063.66,25809.84
U00845,1,37,91560.36,71662.74
U00846,1,41,106054.5,87379.66
U00847,2,71,188627.64,80776.03
U00848,4,105,289218.97,82048.7
U00850,4,101,270995.64,76334.76
U00851,2,51,145443.2,67331.1
U00852,6,186,497978.09,78743.7
U00853,2,61,165531.36,69484.3
U00854,4,133,384607.46,99860.44
U00855,2,34,88200.17,36889.5
U00856,1,30,97924.63,97924.63
U00858,1,37,99505.9,80221.04
U00859,3,76,222379.88,72032.72
U00860,1,48,128698.89,123586.47
U00862,2,64,170828.65,75063.29
U00863,2,68,176488.81,77928.02
U00864,1,47,116218.31,85952.43
U00865,1,48,144428.18,118419.42
U00866,3,93,275342.61,105603.43
U00867,4,154,433020.24,103629.74
U00868,3,63,180350.28,83523.71
U00869,1,43,116775.57,97265.36
U00870,3,93,247334.96,86695.58
U00871,2,68,189512.26,89190.56
U00873,4,153,443337.09,95815.76
U00874,4,115,297655.22,72787.93
U00875,1,44,110008.2,92994.43
U00878,1,25,63611.87,50675.67
U00879,2,67,179800.47,81957.34
U00880,1,38,93162.41,78355.09
U00881,2,60,163573.68,83555.25
U00882,4,72,207058.37,47526.26
U00885,3,58,159266.16,51987.02
U00886,3,110,290652.82,92540.16
U00887,2,49,129438.47,50345.59
U00889,3,96,268095.5,78787.1
U00890,4,115,316244.87,82915.71
U00891,2,62,179710.29,109490.86
U00892,3,74,198531.31,62517.72
